id,source,target,label
226,2,1,"She calls Otlet a ""mage"" in her book."
227,2,9,Pagès was one of Briet's students before the creation of the INTD.
247,2,119,Co-founder of UFOD.
169,3,35,
170,3,1,Otlet is inspired by the CDD for the CDU.
64,4,1,
65,4,19,"Goldberg graduated from the Chemistry Institute run by Ostwald, in Leipzig."
219,5,1,Microfiche and microphotographic book.
109,6,45,Joint work around the CDU.
110,6,54,
111,6,1,
152,7,6,Léonie is the younger sister of Henri La Fontaine.
153,7,1,
192,8,14,"He directs the Mundaneum Institute in The Hague, Holland."
193,8,1,Encyclopedia and atlas projects.
194,8,112,Encyclopedic project and collaboration within the circle of Vienna.
220,9,1,
103,10,1,"Meeting during the World Congress of Universal Documentation in Paris in 1937."
116,11,6,
117,11,1,
55,12,1,Otlet is Honorary President of Die Brücke.
56,12,19,
188,13,6,
189,13,11,Sébert is co-founder and vice-president of the OIB.
190,13,1,
191,13,2,Briet is vice-president of the IDF.
172,14,22,
173,14,6,
174,14,82,"Delville's ""Prometheus"" painting hangs in the Palais Mondial."
175,14,7,
176,14,1,
41,15,16,The 1908 conference laid the foundations for the 1910 congress.
42,15,11,
43,15,1,
44,16,1,
46,17,10,
47,17,1,
48,17,2,
61,18,1,
241,19,28,
242,19,28,Common work around the universal language.
243,19,1,
26,20,6,
27,20,3,
28,20,1,
131,21,1,
132,21,2,Briet is the first director of the INTD.
96,22,1,Secretary to Paul Otlet.
24,23,24,
25,23,1,Second wife of Paul Otlet.
146,24,72,Unsuccessful projects of Cité Mondiale.
147,24,1,Unsuccessful projects of Cité Mondiale.
15,25,1,
30,26,1,
9,27,13,Carnegie visits the World Palace in 1913.
10,27,1,
159,28,1,
160,28,19,They are both supporters of Ido.
195,29,32,
196,29,77,
197,29,54,
198,29,44,Co-founders of the Society for Co-education (1910).
199,29,1,
104,30,71,Denis invites Reclus to the Free University.
105,30,54,
106,30,1,
249,30,59,the new university is created following the disavowal of Hector Denis who is blamed for his invitation to Elisée Reclus
60,31,1,
1,32,1,They share international ideas.
6,33,1,
200,34,1,Sharing common ideals and visions.
114,35,69,Field created the Concilium in 1895.
115,35,1,
201,36,43,Family ties.
202,36,30,
203,36,1,Uncle of Paul Otlet.
134,37,45,Joteyko was a pupil of Richet during his medical studies.
135,37,53,Joteyko participates in sociological surveys coordinated by Waxweiler.
