title,id,type:type,meta:description,tag:1,tag:2,tag:3,tag:4,content:description,time:begin,time:end,thumbnail,meta:country,meta:outside link
Paul Otlet,1,Otlet,Founder of the Mundaneum and jurist,Bibliography,,,,"Paul Otlet is the mind behind the Mundaneum, a milestone in the history of data collection, host to the Répertoire Bibliographique Universel (National Bibliographic Directory). He spent his life developping this organisation and the network of people and institutions surrounding it.",1868,1944,OtletPaul.jpg,Belgium,https://fr.wikipedia.org/wiki/Paul_Otlet
Suzanne Briet,2,Person,"""Madam Documentation""",Documentation,Information science,,,"Suzanne Briet is a librarian, pioneer of Information and Communication Sciences in France. She plays a central part in the professionalization of documentation through the Union française des organismes de la documentation (UFOD) and the Institut national des sciences et techniques de la documentation (INTD). She is also Vice-President of the International Federation of Documentation (FID, former IIB). Her 1951 book, “What is documentation?” was the focus of several research articles and books.",1894,1989,BrietSuzanne.jpg,France,https://fr.wikipedia.org/wiki/Suzanne_Briet
Melvil Dewey,3,Person,"Librarian, author of the Decimal Classification",Classification,Library,,,"Mevil Dewey was an American librarian. He revolutionised the organisation of libraries in the United States, notably in 1876 when he published his decimal classification. He also founded the American Library Association and the Library Journal. He set up professional training structures for librarians.",1851,1931,DeweyMelvil.jpg,United States,https://fr.wikipedia.org/wiki/Melvil_Dewey
Emanuel Goldberg,4,Person,Inventor of the Microfilm Quick Selector,Physics,Chemistry,Optics,Photography,"Emanuel Goldberg is an inventor, among the greatest of his time in the field of optics and photography. Born in Moscow, he lives in Germany. He graduated from the Wilhelm Ostwald Institute of Chemistry in Leipzig in 1906. Kidnapped by the Nazis in 1933, he fled to Paris and then settled in the Middle East. He invented a microfilm selector and projector, which he called a statistical machine, the first automated information retrieval system, which was considerably ahead of its time..",1881,1970,GoldbergEmanuel.jpg,"Germany, Israel",https://fr.wikipedia.org/wiki/Emanuel_Goldberg
Robert Goldschmidt,5,Person,Co-inventor with Otlet of the microfiche,Chemistry,Radio,Electricity,,"A Belgian doctor of science, Robert Goldschmidt stands out for his technical innovations — the airship, telegraphy and wireless transmission. He develops the microfilm and, with Otlet, a mobile library device based on microfiche books.",1877,1935,GoldschmidtRobert.jpg,Belgium,https://fr.wikipedia.org/wiki/Robert_Goldschmidt
Henri La Fontaine,6,Person,"Politician, co-founder of the Mundaneum",Pacifism,Bibliography,Politics,,"Henri La Fontaine is a socialist politician. In 1913, he was awarded the Nobel Peace Prize. With Paul Otlet, he collaborates to a vast intellectual network in favour of knowledge and militates around international associations for peace and women's rights.",1854,1943,LaFontaineHenri.jpg,Belgium,https://fr.wikipedia.org/wiki/Henri_La_Fontaine
Léonie La Fontaine,7,Person,Founder of the Central Women's Documentation Office,Feminism,Bibliography,,,"A feminist and pacifist, Léonie La Fontaine is distinguished by her involvement in Belgian and international associations to defend women's rights, such as the CNFB. She participates in the Mundaneum project by integrating feminist theses and maintains a library in her home to facilitate the orientation of girls in their professional choices. The library of the association L'Université des Femmes bears her name. She is the sister of Henri La Fontaine.",1857,1949,LaFontaineLeonie.jpg,Belgium,https://fr.wikipedia.org/wiki/L%C3%A9onie_La_Fontaine
Otto Neurath,8,Person,"Sociologist, member of the Vienna Circle",Museum,Sociology,,,"Otto Neurath is an Austrian sociologist and philosopher. He creates a socio-economic museum in Vienna in 1925. He develops a language of quantitative data representation - the Isotype. With Otlet, he builds the Mundaneum network, which he co-directs from Holland. The merging of their ideas is representated by the “NOP” symbol.",1882,1945,NeurathOtto.jpg,Austria,https://fr.wikipedia.org/wiki/Otto_Neurath
Robert Pagès,9,Person,"Intellectual, document theorist",Documentation,Psychology,,,"Robert Pagès is known as a scientist, social psychologist at the CNRS, and former Resistance fighter. Since 2017, he has been rediscovered by the information science community because of his writings contemporary with those of Suzanne Briet, in particular the essay ""Transformations documentaires et milieu culturel"" (1948) and the concept of self-document introduced in the latter.",1919,2007,PagesRobert.jpg,France,https://fr.wikipedia.org/wiki/Robert_Pag%C3%A8s
H.G. Wells,10,Person,"Author of ""World Brain""",Literature,,,,"H.G. Wells was a prolific writer of science fiction, as well as a writer of political and popular science works. He was sensitive to social issues, a theorist of a ""world-state"". He also participated in the drafting of the United Nations Charter. He took part in the 1937 World Congress at the invitation of Paul Otlet to present a reflection on a ""world brain"" project",1866,1946,WellsHG.jpg,United Kingdom,https://fr.wikipedia.org/wiki/H._G._Wells
Hippolyte Sébert,11,Person,"Co-founder of the IIB, specialist in Esperanto",Bibliography,Universal language,Esperanto,Photography,"After a military career, Hyppolite Sébert began a second life devoted to science. He is a key figure of the Esperanto movement. Beginning in 1898, he is in charge of the Paris Bibliographic Office, in association with Henri La Fontaine and Paul Otlet's International Institute of Bibliography (IIB). The three men collaborate regularly.",1839,1930,SebertHippolyte.jpg,France,https://fr.wikipedia.org/wiki/Hippolyte_Sebert
Die Brücke,12,Organization,Institute dedicated to knowledge organization and standardization,Bibliography,Documentation,,,"Die Brücke (Internationales Institut zur Organisierung der geistigen Arbeit Die Brücke) is the short-lived but influential bibliographical association created on the initiative of Wilhem Ostwald. It is dedicated to the standardization and international organization of intellectual work. Paul Otlet is appointed honorary president. His work will have a great influence, especially on the German Institute for Standardization (DIN).",1911,1913,DieBrucke.jpg,Germany,https://en.wikipedia.org/wiki/Die_Br%C3%BCcke_(institute)
OIB / IIB / FID,13,Organization,"OIB, then IIB and finally FID",Bibliography,Cooperation,Documentation,,"The International Bibliography Office was founded in 1895 by Otlet and La Fontaine. The Universal Bibliographic Directory, which is its main output, was an intellectual tool for knowledge sharing and research (sometimes called “a Google of paper”). The Office will successively become the International Bibliography Institute (IIB) and then the International Federation of Documentation (FID).",1895,2002,IIB.jpg,Belgium,https://fr.wikipedia.org/wiki/Institut_international_de_bibliographie
Mundaneum,14,Organization,Paul Otlet's lifelong project,Cooperation,Documentation,Museum,,"The Mundaneum is Paul Otlet's flagship project, a beacon in every sense of the word. It is the idea he has been working on all his life, representing best his double ambition of advancing both knowledge and peace between men. The Mundaneum is also a network and a place. An intellectual centre created in 1920 at the Palais du Cinquantenaire (Brussels), it hosts all the activities in which Otlet is involved: bibliography, heritage, research, international cooperation, activism. The Mundaneum is today embodied by the museum and archive centre of the same name in Mons, Belgium.",1920,,Mundaneum.jpg,Belgium,https://fr.wikipedia.org/wiki/Mundaneum
Conférence de Bruxelles 1908,15,Event,International Conference on Bibliography and Documentation,Bibliography,Documentation,,,The fourth international conference on bibliography and documentation took place in Brussels in 1908 on the initiative of Paul Otlet. It laid the foundations for the congress that would take place two years later.,1908,,blank_event.jpg,Belgium,https://catalogue.mundaneum.org/index.php/Detail/objects/120196
Congrès de Bruxelles 1910,16,Event,International Congress of Bibliography and Documentation,Bibliography,Documentation,,,"The first international congress of bibliography and documentation was held in Brussels in 1910. It had a greater impact than previous meetings and contributed to the wider dissemination of the concept of documentation. 1910 was an important year for Paul Otlet and Henri La Fontaine's efforts towards cooperation, since a congress of international associations was also held.",1910,,blank_event.jpg,Belgium,https://catalogue.mundaneum.org/index.php/Detail/objects/120408
Congrès de Paris 1937,17,Event,World Congress of Universal Documentation,Bibliography,Documentation,,,"The World Congress of Universal Documentation was held from 16 to 21 August 1937 in Paris, during the Exposition Universelle. Delegates from 45 countries met to discuss means by which all of the world's information, in print, in manuscript, and in other forms, could be efficiently organized and made accessible. ",1937,,blank_event.jpg,France,https://catalogue.mundaneum.org/index.php/Detail/objects/76839
Edouard Otlet,18,Person,Father of Paul Otlet,Industry,Transport,Otlet Family,,"Father of Paul Otlet. An entrepreneur invested in transport technology, he made a fortune building tramways and the operation of various companies, including in Belgian Congo. His mismanagement, coupled with an economic crisis in 1900, cost him most of this empire. Towards the end of his father's life, Paul Otlet stepped in to manage the remaining assets and wealth.",1842,1907,OtletEdouard.jpg,Belgium,https://fr.wikipedia.org/wiki/%C3%89douard_Otlet
